"Empresa","Servicio","Unidad","Tarifa Máxima","Tarifa Mínima","Año","Resolución","Expediente","Fecha Publicación"
"Estibadoras","Mercadería General","Tonelada","7.11","5.69","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Hierro","Tonelada","3.45","2.76","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Sistema roll on roll off","Movimiento","16.63","13.3","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Con grúa pórtica","Movimiento","21.92","17.54","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Con grúa nave","Movimiento","21.92","17.54","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Paletizado","Caja 20 kg","0.15","0.12","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Kilo paletizado","Kilo","0.0074","0.0059","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Fruta contenerizada","Movimiento","21.92","17.54","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Estibador pallet","Caja 20 kg","0.11","0.09","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Kilo estibador pallet","Kilo","0.006","0.0048","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Nave Convencional","Tonelada","2.14","1.71","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Nave porta contenedor ","Movimiento","11.75","9.4","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Contenedores y furgones vacios","Movimiento","13.7","10.96","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Mercadería General","Tonelada","1.14","0.91","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Hiero y Lingotes","Tonelada","0.57","0.45","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Sistema carga paletizada","Tonelada","3.13","2.5","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Naves convencionales ","Hora","71.26","57.01","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Naves roll on roll off","Hora","54.21","43.37","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Naves porta contenedores","Hora","325.77","260.62","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Naves bananeras ","Hora","405.4","324.32","2015"," 060-RIT-2015"," ET-126-2013","16-05-2016"
"Estibadoras","Mercadería General","Tonelada","3.05","3.81","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Hierro","Tonelada","2.76","3.45","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Sistema roll on roll off","Movimiento","13.3","16.63","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Con grúa pórtica","Movimiento","12.19","15.23","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Con grúa nave","Movimiento","15.17","18.97","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Paletizado","Caja 20 kg","0.091","0.11","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Kilo paletizado","Kilo","0.0038","0.0048","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Fruta contenerizada","Movimiento","19.17","23.96","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Estibador pallet","Caja 20 kg","0.09","0.112","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Kilo estibador pallet","Kilo","0.0048","0.006","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Nave Convencional","Tonelada","1.71","2.14","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Nave porta contenedor ","Movimiento","9.4","11.75","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Contenedores y furgones vacios","Movimiento","10.96","13.7","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Mercadería General","Tonelada","0.91","1.14","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Hiero y Lingotes","Tonelada","0.45","0.57","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Sistema carga paletizada","Tonelada","2.5","3.13","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Naves convencionales ","Hora","57.01","71.26","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Naves roll on roll off","Hora","43.37","54.21","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Naves porta contenedores","Hora","89.1","111.38","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
"Estibadoras","Naves bananeras ","Hora","78.87","98.59","2008","  RRG-9261-2008"," ET-218-2008","21-11-2008"
